(答案),﻿題號,問題,(1) 選項1,(2) 選項2,(3) 選項3,(4) 選項4
(1),130,"業餘無線電人員購買業餘無線電機後,下列何者正確?","(1) 經審驗合格發給執照,始得使用",(2) 購買後即可使用,(3) 租予他人使用,(4) 加大功率使用
(1),131,三等業餘無線電人員使用頻率範圍及發射功率之規定為,"(1) 頻率限於50百萬赫至50.15百萬赫、144百萬赫至146百萬赫及430百萬赫至440百萬赫,功率限於25瓦特以下","(2) 頻率限於144百萬赫至148百萬赫及430百萬赫至440百萬赫,功率限於25瓦特以下","(3) 頻率限於144百萬赫至146百萬赫及430百萬赫至432百萬赫,功率限於50瓦特以下","(4) 頻率限於144百萬赫至148百萬赫及430百萬赫至440百萬赫,功率限於50瓦特以下"
(4),132,"業餘無線電頻率 145 百萬赫及 433 百萬赫為呼叫緊急救難頻率,任何電臺在呼叫完畢後,須改換至其他頻率工作,不得停留佔用及干擾,平時應經常守聽,俾供",(1) 做為個人通信之專用頻道,(2) 做為救難大隊之專用頻道,(3) 做為消防救難大隊之專用頻道,(4) 緊急呼叫及提供救助呼叫使用
(1),133,"當一通訊網路啟用時,你與友臺正在該頻率上通信,應如何處理?",(1) 禮貌地切換至其他頻率,(2) 加大功率以強佔頻率,(3) 持續發射讓大家都無法使用,(4) 關機
(4),134,"若你是 VHF 通訊網路的主控電臺,當平時使用的頻率被其他友臺先行使用了,應如何處理?","(1) 降低功率輸出,按原計畫使用",(2) 加大功率以強佔頻率,(3) 當日停止通信,"(4) 避開該頻率,並於鄰近無人使用的頻率進行通信"
(1),135,業餘無線電臺至少應有幾個控制點？,(1) 一個,(2) 二個,(3) 三個,(4) 不需要
(1),136,於業餘無線電臺執照內指定，負責控制電臺信息之傳送，以確保符合無線電規章規定之業餘無線電人員稱為,(1) 控制員,(2) 管理員,(3) 作業員,(4) 頻率協調員
(4),137,"由當地或當區合法業餘電臺或中繼電臺控制員共同認可之人員,擔任協調並建議該等電臺所適用之發射及接收之頻路、相關作業及技術參數之任務,以避免或減少干擾,稱為",(1) 控制員,(2) 管理員,(3) 作業員,(4) 頻率協調員
(2),138,"業餘無線電控制員執行控制作業任務之地點,稱為",(1) 作業點,(2) 控制點,(3) 管理點,(4) 頻率協調點
(1),139,"業餘無線電人員操作業餘無線電臺時,下列何種行為是被禁止的?",(1) 使用未經指配之電臺呼號,(2) 不將電臺租予他人,(3) 不佔用特定業餘無線電頻率,(4) 不對其他無線電信號產生干擾
(2),140,"業餘電臺之發射機件或其電源線產生之混附發射,對其他無線電通信產生妨害性干擾時",(1) 應不予理會並繼續發射,(2) 應立即停止發射並予以改善,(3) 應立即要求遭干擾之電臺停止發射並予以改善,"(4) 可繼續發射,至主管機關通知後始停止發射並予以改善"
(1),141,下列何種業餘電臺之行為是被禁止的?,(1) 使用未經指配之頻率及電臺呼號,(2) 使用主管機關核准之密語或密碼通信,(3) 不對其他無線電信號產生干擾,(4) 不傳送不實之信號或信息
(1),142,下列何種業餘電臺行為是被禁止的?2,(1) 從事違法通信或傳送非法信息,"(2) 不播放音樂、唱歌、吹口哨,不使用鄙俚、淫邪之語音。影像信號或爭吵之信號",(3) 不作涉及公眾電信業務或從事具有任何營利性質之通信,(4) 不從事廣播或蒐集新聞活動
(2),143,"業餘無線電人員操作業餘無線電臺時,下列何種行為是被禁止的?",(1) 不使用未經指配之電臺呼號,(2) 將電臺租予他人,(3) 不佔用特定業餘無線電頻率,(4) 不對其他無線電信號產生干擾
(1),144,"取得業餘無線電臺執照後,未經主管機關核准私自「擴頻」使用,例如核准頻率為 144-146 百萬赫,使用時卻調到 148 百萬赫,此行為屬",(1) 違反電信管理法相關規定,(2) 合法,(3) 違反刑法,(4) 違反民法
(1),145,"業餘電臺於初次建立通信或通信完畢時均應報名呼號,其呼號為",(1) 主管機關指配之電臺呼號,(2) 使用自取臺號(秘雕、孔鏘、嗶伯……),(3) 7,(4) 長江1號
(1),146,"未經主管機關核准,強行佔用特定業餘無線電頻率。例如:某一電臺在頻率上宣稱「這個跑道我們用很久了」以驅趕其他合法使用者,此種行徑",(1) 屬違法的行為,(2) 屬合法的行為,"(3) 很好,佔久了就是我們的","(4) 無所謂,沒人管"
(1),147,對其他無線電信號產生干擾。例如干擾其他使用者而壓空信號、放音樂等,(1) 屬違法的行為,(2) 屬合法的行為,"(3) 很好,佔地為王,捍衛權利","(4) 無所謂,欺過路客,顯示我神通廣大"
(1),148,下列何者屬公眾通信?,(1) 公眾行動電話、行動寬頻,(2) 航海無線電通信業務,(3) 航空行動通信業務,(4) 27百萬赫市民波段通信
(1),149,"我在使用業餘電臺無意中收到公眾通信通話,",(1) 其內容不可以洩露、發佈或加以利用,(2) 我可以利用業餘電臺向大眾公佈,(3) 我深以為得到許多信息而覺得偉大,(4) 我可以告訴我的女朋友表示我的神通廣大
(1),150,我在使用業餘無線電臺時,(1) 禁止未經核准截收非供公眾一般需用之無線電通信,(2) 偷聽別人使用大哥大通信,(3) 利用收聽到之公眾通信內容並告之通信社加以公佈,(4) 把收到之公眾通信據為己用
(2),151,佔用業餘無線電頻率使用在開店送瓦斯、餐廳點菜、與營業車隊派車調度等都屬,(1) 合法行為,(2) 違反業餘無線電人員及電臺管理辦法行為,"(3) 使用無線電不用付費,又不違反",(4) 無所謂
(2),152,"某一業餘無線電人員取得業餘無線電臺執照後,未經主管機關許可擅自加大功率,例如將原電臺功率由 25 瓦特增為 50 瓦特,",(1) 屬合法行為,(2) 屬違法行為,"(3) 很好,功率愈大愈好用",(4) 無所謂
(1),153,某地區一固定設置之業餘電臺禮讓路過之業餘無線行動電臺優先使用並提供協助,(1) 屬業餘無線電人員禮讓的表現,(2) 不予理會直接加大功率示威,(3) 不值得學習,(4) 取笑他並繼續使用該頻段
(2),154,"將電臺租予他人,係",(1) 屬合法的行為,(2) 屬違法的行為,(3) 政府管不著,(4) 高興就好
(2),155,公司行號能否申請使用業餘無線電作為業務使用?,(1) 可,(2) 不可,(3) 不用申請,(4) 買來直接使用即可
(1),156,"於業餘無線電播放音樂,係",(1) 屬違法行為,(2) 屬合法行為,(3) 寬宏大量的行為,(4) 獨樂樂不如眾樂樂
(1),157,"違反業餘無線電人員及電臺管理辦法規定者,應依",(1) 電信管理法相關規定處罰,(2) 消費者保護法相關規定處罰,(3) 槍砲彈藥刀械許可及管理辦法相關規定處罰,(4) 氣象法相關規定處罰
(1),158,足使資訊傳輸獲得在各類發射所規定條件下之傳輸品質及所需速率之頻帶寬度稱為,(1) 必需頻帶寬度,(2) 指配頻帶寬度,(3) 佔用頻帶寬度,(4) 民用頻帶寬度
(3),159,"以總發射平均功率為中心衰減至低於總發射平均功率至少二十六分貝處,包括發射機容許頻率漂移及杜卜勒頻率漂移之頻率帶域寬度稱為",(1) 必需頻帶寬度,(2) 指配頻帶寬度,(3) 佔用頻帶寬度,(4) 業餘頻帶寬度
(1),160,載波遏制之程度足以使載波信號回復供解調使用之一種調幅單邊帶發射稱為,(1) 減載波單邊帶發射,(2) 遏制載波單邊帶發射,(3) 殘邊帶發射,(4) 強載波單邊帶發射
(2),161,"載波被實質遏制,於解調時不予使用之一種調幅單邊帶發射稱為",(1) 減載波單邊帶發射,(2) 遏制載波單邊帶發射,(3) 殘邊帶發射,(4) 強載波單邊帶發射
(3),162,電視影像信號以,(1) 減載波單邊帶發射,(2) 遏制載波單邊帶發射,(3) 殘邊帶發射,(4) 強載波單邊帶發射
(2),163,由發射機輸出傳送到天線之功率及其天線與半波偶極天線相對增益之乘積稱為,(1) 輸出功率(output power),(2) 有效輻射功率(ERP),(3) 有效全向輻射功率(EIRP),(4) 輸入功率
(1),164,發射或接收做為觀測電波傳播及其他相關實驗活動信號之業餘電臺稱為,(1) 示標電臺,(2) 實驗電臺,(3) 中繼電臺,(4) 遙測電臺
(4),165,利用業餘無線電傳送遠端觀測實驗信號之業餘電臺稱為,(1) 示標電臺,(2) 實驗電臺,(3) 中繼電臺,(4) 遙測電臺
(3),166,自動轉發其他電臺信號之業餘電臺稱為,(1) 示標電臺,(2) 實驗電臺,(3) 中繼電臺,(4) 遙測電臺
(1),167,設置於超過地面五十公里之業餘電臺稱為,(1) 太空電臺,(2) 地球電臺,(3) 中繼電臺,(4) 遙測電臺
(2),168,"設置於離地面五十公里以內,擬與太空電臺或經由其他一或數具太空上之載具與其他地球電臺通信之業餘電臺稱為",(1) 太空電臺,(2) 地球電臺,(3) 中繼電臺,(4) 遙測電臺
(3),169,經由控制鏈路間接遙控控制之業餘電臺稱為,(1) 太空電臺,(2) 地球電臺,(3) 遙控電臺,(4) 遙測電臺
(4),170,傳送無線電信號以資指揮太空電臺之起動、修正或停止作業功能之業餘電臺稱為,(1) 太空電臺,(2) 地球電臺,(3) 遙控電臺,(4) 指揮電臺
(3),171,"為符合無線電規章之規定,控制員在電臺內直接調校、控制無線電通信作業,稱為",(1) 自動控制,(2) 離線控制,(3) 即席控制,(4) 遙控控制
(4),172,為符合無線電規章之規定，控制員經由控制鏈路間接調校、控制業餘無線電通信作業，稱為,(1) 自動控制,(2) 離線控制,(3) 即席控制,(4) 遙控控制
(1),173,為符合無線電規章之規定，在無人操作之控制點上，自動控制該電臺之傳送所使用之設備及程序，稱為,(1) 自動控制,(2) 離線控制,(3) 即席控制,(4) 遙控控制
(2),174,第三者通信指業餘電臺之控制員為他人傳送信息予何人之通信,(1) 另一非業餘無線電人員,(2) 另一業餘電臺控制員,(3) 公眾通信,(4) 任何其他人員
(3),175,業餘無線電團體設置示標電臺、中繼電臺、地球電臺、太空電臺、遙控電臺、遙測電臺或指揮電臺等特殊業餘電臺時應向,(1) 當地業餘無線電團體申請,(2) 當地公路監理站申請,(3) 主管機關申請,(4) 內政部申請
(3),176,"業餘無線電臺執照即將屆期時,","(1) 若要繼續使用,應於有效期屆滿前辦理換照","(2) 若已不想操作,應逕向主管機關申請電機封存或監燬",(3) 以上皆是,"(4) 不予理會,持續使用"
(3),177,"個人進口或自製業餘無線電機僅供自用者,應向主管機關申請審驗合格",(1) 即可使用,(2) 並取得型式認證證明後始得使用,(3) 並取得電臺執照後始得使用,(4) 並取得廣播執照後始得使用
(4),178,自動控制電臺僅能傳送多少百萬赫之無線打字或數據通信?,(1) 10 百萬赫,(2) 20 百萬赫,(3) 30 百萬赫,(4) 超過50 百萬赫
(1),179,"廠商應依電信管理法相關規定向何單位申請許可或備查,始得產銷業餘無線電機?",(1) 主管機關,(2) 標檢局,(3) 刑事警察局,(4) 經濟部
(1),180,"業餘無線電人員取得較高等級之測試及格,原設置之業餘電臺得申請改配呼號。其呼號一經改配,原呼號該電臺",(1) 不得再使用,(2) 可併同使用到大家都認識我的新呼號為止,(3) 可再使用至執照到期日,(4) 可永久使用
(1),181,"業餘無線電人員經主管機關核發較高等級之業餘無線電人員執照時,原執照效力為何?",(1) 原執照失其效力,(2) 原執照有效,(3) 有效。可同時持有一張以上業餘無線電人員執照,(4) 原執照效期未過仍有效
(4),182,"業餘無線電人員設置業餘電臺,除以下電臺外,應申請電臺設置核准, 經審驗合格,取得電臺執照,始得使用?",(1) 固定式業餘電臺,(2) 行動式業餘電臺,(3) 特殊業餘電臺,(4) 臨時電臺
(2),183,"電臺審驗不合格者,得於電臺設置核准有效期間內申請複驗,並以幾次為限?",(1) 無限次數,(2) 一次,(3) 二次,(4) 三次
(3),184,以下何者非業餘無線電人員及電臺管理辦法規定之特殊業餘電臺?,(1) 示標電臺,(2) 中繼電臺,(3) 臨時電臺,(4) 太空電臺
(4),185,"申請設置特殊業餘電臺應檢具以下那些文件,經全國性業餘無線電團體向主管機關申請核准?",(1) 固定式業餘電臺設置申請書,(2) 特殊業餘電臺計畫書,(3) 行動式業餘電臺執照申請書,(4) 特殊業餘電臺及呼號指配申請書與設置使用管理計畫書
(3),186,"業餘無線電人員設置設置使用臨時電臺,其使用期間為何?",(1) 無時間限制,(2) 一年,(3) 六個月為限,(4) 以上皆非
(4),187,業餘電臺執照有效期間為何?業餘電臺所屬者應於電臺執照有效期間屆滿前多久向主管機關申請換照?,(1) 十年；一個月內,(2) 五年；一個月內,(3) 十年；五個月內,(4) 十年；六個月起五個月內
(2),188,業餘電臺之業餘無線電機之輸出功率及工作頻段應符合以下法令之規定?,(1) 業餘無線電人員及電臺管理辦法,(2) 業餘無線射頻電機技術規範,(3) 無線電頻率使用管理辦法,(4) 以上皆非
(3),189,業餘電臺之業餘無線電機之頻率容許差度及混附發射應符合以下法令之規定?,(1) 業餘無線電人員及電臺管理辦法,(2) 業餘無線射頻電機技術規範,(3) 無線電頻率使用管理辦法,(4) 以上皆非
(4),190,"業餘電臺增設或變更外接射頻功率放大器或套件時,所屬者應向誰申請,經審驗合格,換發電臺執照,始得使用?",(1) 經濟部,(2) 內政部,(3) 當地業餘無線電團體,(4) 主管機關
(2),191,"業餘電臺之外接射頻功率放大器或套件,應符合下列何種之規定?",(1) 業餘無線電人員及電臺管理辦法,(2) 業餘無線射頻電機技術規範,(3) 無線電頻率使用管理辦法,(4) 以上皆非
(4),192,"業餘無線電人員利用業餘電臺傳送無線打字或數據時,應使用下列規定之數據碼操作模式?",(1) BAUDOT碼,(2) AMTOR碼,(3) ASCII碼,(4) 以上皆是
(1),193,以下何者始能申請及從事展頻通信實驗?,(1) 限一等或二等業餘無線電人員,(2) 三等業餘無線電人員,(3) 一般人即可,(4) 以上皆非
(2),194,供展頻通信實驗之發射機輸出功率及工作頻率應為何?,(1) 輸出功率大於一百瓦特；工作頻率四三○百萬赫以上,(2) 輸出功率不得大於一百瓦特；工作頻率四三○百萬赫以上,(3) 輸出功率小於一百瓦特；工作頻率四三○百萬赫以下,(4) 以上皆非
(1),195,"展頻通信實驗應做成紀錄,並應保存幾年?",(1) 一年,(2) 二年,(3) 三年,(4) 四年
(4),196,"為業餘無線電作業之推廣或教育活動目的,業餘無線電團體或一等、二等業餘無線電人員,經向誰申請核准後,得於活動現場,在其監督及指導下,提供業餘電臺或臨時電臺供非業餘無線電人員操作?",(1) 經濟部,(2) 內政部,(3) 當地業餘無線電團體,(4) 主管機關
(4),197,"業餘無線電人員操作業餘電臺,使用業餘無線電次要業務之頻段時,應遵守什麼規定?",(1) 不得干擾主要業務,(2) 須忍受合法通信之妨害性干擾,(3) 不應對業經指配之主要業務電臺產生妨害性干擾,(4) 以上皆是
(2),198,"頻率容許差度,在正常供應電壓下,溫度在幾℃間變化?",(1) -15℃至55℃,(2) -10℃至50℃,(3) -5℃至50℃,(4) -15℃至50℃
(4),199,"工作頻率小於 30 百萬赫者,電臺發射器或外接功率放大器之混附發射平均功率(mean power)至少應低於主波平均功率多少 dB?",(1) 40 dB,(2) 38 dB,(3) 45 dB,(4) 43 dB
(3),200,"工作頻率為 17.7 吉赫以上者,混附發射依以下法令規定?",(1) 業餘無線電人員及電臺管理辦法,(2) 業餘無線射頻電機技術規範,(3) 無線電頻率使用管理辦法,(4) 以上皆非
(1),201,"一等業餘無線射頻電機,50 百萬赫~50.15 百萬赫頻段,輸出功率限幾瓦?",(1) 400 瓦特以下,(2) 300 瓦特以下,(3) 200 瓦特以下,(4) 100 瓦特以下
(4),202,"一等業餘無線射頻電機,430 百萬赫~440 百萬赫頻段,輸出功率限幾瓦?",(1) 400 瓦特以下,(2) 300 瓦特以下,(3) 200 瓦特以下,(4) 100 瓦特以下
(3),203,"二等業餘無線射頻電機,50 百萬赫~50.15 百萬赫頻段,輸出功率限瓦?",(1) 400 瓦特以下,(2) 300 瓦特以下,(3) 200 瓦特以下,(4) 100 瓦特以下
(1),204,"二等業餘無線射頻電機,430 百萬赫~440 百萬赫頻段,輸出功率限幾瓦?",(1) 50 瓦特以下,(2) 100 瓦特以下,(3) 200 瓦特以下,(4) 10 瓦特以下
(2),205,"三等業餘無線射頻電機,50 百萬赫~50.15 百萬赫頻段,輸出功率限幾瓦?",(1) 50 瓦特以下,(2) 25 瓦特以下,(3) 10 瓦特以下,(4) 2 瓦特以下
(2),206,"三等業餘無線射頻電機,430 百萬赫~440 百萬赫頻段,輸出功率限幾瓦?",(1) 50 瓦特以下,(2) 25 瓦特以下,(3) 10 瓦特以下,(4) 2 瓦特以下
(3),207,"查驗外接射頻功率放大器時,應以多少瓦以上之平均射頻輸入功率驅動至其輸出功率(設計功率)達到飽和功率?",(1) 150 瓦特,(2) 100 瓦特,(3) 50 瓦特,(4) 以上皆非
(1),208,"頻率容許差度在 20℃下,供應電壓在額定值之±15％內變化時,工作頻率為 VHF 或 UHF 者,其規定為何?",(1) 限±5ppm內,(2) 限±4ppm內,(3) 限±3ppm內,(4) 限±2ppm內
(4),209,"業餘無線電人員操作業餘電臺時,以下行為是被禁止的?",(1) 不對其他無線電信號產生干擾,(2) 不傳送不實之信號或信息,(3) 不將電臺租予他人使用,(4) 於遙控無人機利用業餘電臺傳送信號或信息
(3),210,"非本國籍業餘無線電人員於中華民國領域內短期操作業餘電臺,經核准之作業期間規定為何?",(1) 無時間限制,(2) 一年,(3) 六個月為限,(4) 以上皆非
(1),211,自動控制作業之業餘電臺傳送無線打字或數據通信之頻率規定為何?,(1) 50 百萬赫以上,(2) 50 百萬赫以下,(3) 40 百萬赫以上,(4) 以上皆非
(3),212,"業餘電臺至少應有一個控制點,其傳送信息或信號時,除什麼作業外,控制員應在其中一個控制點上作業?",(1) 即席控制作業,(2) 遙控控制作業,(3) 自動控制作業,(4) 以上皆非
(4),213,"特殊業餘電臺設置者應於接獲誰之通知之日起,記錄及保存通信紀錄,並依誰之要求方式提供之?",(1) 經濟部,(2) 內政部,(3) 當地業餘無線電團體,(4) 主管機關
(2),214,"業餘電臺拆除外接射頻功率放大器或套件時,所屬者應依以下法令規定辦理,並應向主管機關申請換發電臺執照?",(1) 業餘無線電人員及電臺管理辦法,(2) 電信管制射頻器材製造輸入及申報作業管理辦法,(3) 業餘無線射頻電機技術規範,(4) 以上皆非
(4),215,申請設置特殊業餘電臺所檢具設置使用管理計畫書應載明以下那些共同事項?,(1) 電臺控制作業之運作方式及架構,(2) 業餘無線電機具發射或兼具收發功能,(3) 通信紀錄之保存方式及保存期間等規劃,(4) 以上皆是
(2),216,"申請固定式業餘電臺執照,其電臺審驗不合格者,得於電臺設置核准有效期間內申請複驗,並以幾次為限?",(1) 無次數限制,(2) 一次,(3) 二次,(4) 三次
(2),217,"收發信機之接收機,其不必要發射應符合以下法令之規定?",(1) 業餘無線電人員及電臺管理辦法,(2) 低功率射頻器材技術規範,(3) 電信管制射頻器材製造輸入及申報作業管理辦法,(4) 以上皆非
(3),218,"非本國籍業餘無線電人員經主管機關核准於中華民國領域內短期操作業餘電臺者,其臨時電臺呼號之第三字元使用為何?",(1) 阿拉伯數字,(2) 英文字母,(3) 斜線,(4) 以上皆非
(1),219,"臨時電臺之呼號組合,若申設目的涉及紀念性質,其呼號組合亦得不受第三字元使用之限制。但以第三及第四字元使用為何?",(1) 均使用阿拉伯數字為限,(2) 均使用英文字母為限,(3) 第三字元使用阿拉伯數字；第四字元使用英文字母,(4) 以上皆非
(1),220,"呼叫及緊急救難頻率規定為何,任何電臺不得停留佔用及干擾?",(1) 145百萬赫及433百萬赫,(2) 145百萬赫及431百萬赫,(3) 144百萬赫及432百萬赫,(4) 以上皆非
(3),221,"一、二等業餘無線射頻電機,135.7 千赫～137.8 千赫頻段,輸出功率限幾瓦特?",(1) 400 瓦特以下,(2) 200 瓦特以下,(3) 1 瓦特(EIRP)以下,(4) 以上皆非
(2),222,"設備調變頻率發射之最大允許頻率偏差,頻道間隔為 12.5 千赫者,調變信號之頻率偏差值為何?",(1) 須介於±2.0 千赫,(2) 須介於±2.5 千赫,(3) 須介於±3.0 千赫,(4) 以上皆非
(3),223,"設備調變頻率發射之最大允許頻率偏差,頻道間隔為 20.0 千赫者,調變信號之頻率偏差值為何?",(1) 須介於±3.0 千赫,(2) 須介於±3.5 千赫,(3) 須介於±4.0 千赫,(4) 以上皆非
(3),224,"設備調變頻率發射之最大允許頻率偏差,頻道間隔為 25.0 千赫者,調變信號之頻率偏差值為何?",(1) 須介於±4.0 千赫,(2) 須介於±4.5 千赫,(3) 須介於±5.0 千赫,(4) 以上皆非
(1),225,"工作頻率為 30 百萬赫～235 百萬赫者,混附發射之平均功率至少應低於主波平均功率 60dB,且不超過幾瓦特?",(1) 1 毫瓦特,(2) 2 毫瓦特,(3) 3 毫瓦特,(4) 以上皆非
(3),226,"工作頻率為 235 百萬赫~960 百萬赫者,混附發射之平均功率至少應低於主波平均功率 60dB,且不超過幾瓦特?",(1) 10 毫瓦特,(2) 15 毫瓦特,(3) 20 毫瓦特,(4) 以上皆非
(2),227,"工作頻率為 960 百萬赫~17.7 吉赫者,混附發射之平均功率至少應低於主波平均功率 50dB,且不超過幾瓦特?",(1) 50 毫瓦特,(2) 100 毫瓦特,(3) 150 毫瓦特,(4) 以上皆非
(2),228,"非本國籍業餘無線電團體或人員於中華民國領域內短期操作業餘電臺,單次入境者,主管機關以核准幾次為限?",(1) 無次數限制,(2) 一次,(3) 二次,(4) 以上皆非
(3),229,"無法於固定式業餘電臺設置核准有效期間內完成電臺設置者,得於期間屆滿前二個月起一個月內敘明理由,向主管機關申請展期,展期期間為幾個月,並以一次為限?",(1) 二個月,(2) 四個月,(3) 六個月,(4) 八個月
